tns_name,repeater,PCA_K-means,UMAP_HDBSCAN,T-SNE_HDBSCAN
FRB20180725A,non-repeater,-1,0.0,0.0
FRB20180727A,non-repeater,-1,-1.0,-1.0
FRB20180729A,non-repeater,1,0.0,0.0
FRB20180729B,non-repeater,-1,0.0,0.0
FRB20180730A,non-repeater,-1,-1.0,-1.0
FRB20180801A,non-repeater,-1,1.0,1.0
FRB20180806A,non-repeater,-1,-1.0,-1.0
FRB20180810A,non-repeater,-1,0.0,0.0
FRB20180810B,non-repeater,-1,-1.0,-1.0
FRB20180812A,non-repeater,-1,1.0,1.0
FRB20180814B,non-repeater,1,0.0,0.0
FRB20180814B,non-repeater,1,0.0,0.0
FRB20180814A,repeater,1,1.0,1.0
FRB20180817A,non-repeater,-1,-1.0,-1.0
FRB20180904A,non-repeater,-1,0.0,0.0
FRB20180906A,non-repeater,-1,0.0,0.0
FRB20180906B,non-repeater,-1,-1.0,-1.0
FRB20180907D,non-repeater,-1,-1.0,-1.0
FRB20180907A,non-repeater,-1,-1.0,-1.0
FRB20180907B,non-repeater,-1,-1.0,-1.0
FRB20180907C,non-repeater,-1,-1.0,-1.0
FRB20180907E,non-repeater,1,1.0,1.0
FRB20180908B,repeater,1,1.0,1.0
FRB20180909A,non-repeater,1,-1.0,-1.0
FRB20180910A,non-repeater,-1,-1.0,-1.0
FRB20180911C,repeater,1,1.0,1.0
FRB20180911A,non-repeater,1,1.0,1.0
FRB20180915A,non-repeater,1,0.0,0.0
FRB20180915B,non-repeater,1,1.0,1.0
FRB20180916A,non-repeater,-1,0.0,0.0
FRB20180916B,repeater,1,1.0,1.0
FRB20180916C,non-repeater,-1,-1.0,-1.0
FRB20180917B,non-repeater,-1,-1.0,-1.0
FRB20180917A,repeater,1,1.0,1.0
FRB20180917A,repeater,1,1.0,1.0
FRB20180917A,repeater,1,1.0,1.0
FRB20180918A,non-repeater,-1,-1.0,-1.0
FRB20180919B,non-repeater,-1,0.0,0.0
FRB20180919A,repeater,1,1.0,1.0
FRB20180920A,non-repeater,1,0.0,0.0
FRB20180920B,non-repeater,1,1.0,1.0
FRB20180921A,non-repeater,-1,-1.0,-1.0
FRB20180922A,non-repeater,-1,1.0,1.0
FRB20180923A,non-repeater,1,1.0,1.0
FRB20180923D,non-repeater,-1,1.0,1.0
FRB20180923C,non-repeater,1,1.0,1.0
FRB20180924A,non-repeater,-1,-1.0,-1.0
FRB20180925A,non-repeater,1,0.0,0.0
FRB20180925B,non-repeater,-1,0.0,0.0
FRB20180928A,non-repeater,1,1.0,1.0
FRB20181012B,non-repeater,-1,1.0,1.0
FRB20181013A,non-repeater,-1,-1.0,-1.0
FRB20181013E,non-repeater,1,1.0,1.0
FRB20181013B,non-repeater,1,-1.0,-1.0
